[ 2026-03-17 22:33:57,004 ] 20 root - INFO - Initiate the data ingestion
[ 2026-03-17 22:34:10,700 ] 77 root - INFO - Performed train-test split
[ 2026-03-17 22:34:10,960 ] 94 root - INFO - Train and test files saved successfully
[ 2026-03-17 22:34:10,962 ] 22 root - INFO - Data Initiation Completed
[ 2026-03-17 22:34:10,972 ] 26 root - INFO - Initiate the data Validation
[ 2026-03-17 22:34:11,101 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 22:34:11,101 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 22:34:11,101 ] 32 root - INFO - Required number of columns:2
[ 2026-03-17 22:34:11,102 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-17 22:34:11,520 ] 28 root - INFO - data Validation Completed
[ 2026-03-17 22:34:11,521 ] 31 root - INFO - data Transformation started
[ 2026-03-17 22:34:11,522 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-17 22:34:11,522 ] 65 root - INFO - Starting data transformation
[ 2026-03-17 22:34:11,580 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-03-17 22:34:11,581 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-17 22:34:11,605 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:34:11,611 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:34:11,611 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:34:11,616 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:34:11,618 ] 35 root - INFO - data Transformation completed
[ 2026-03-17 22:34:11,618 ] 37 root - INFO - Model Training sstared
[ 2026-03-17 22:43:18,121 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:43:18,123 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:43:18,123 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-17 22:43:18,132 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-17 22:43:18,132 ] 152 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\03_17_2026_22_33_51\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9908424908424909, precision_score=0.9884287454323996, recall_score=0.9932680538555692), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.974298141557928, precision_score=0.967032967032967, recall_score=0.9816733067729083))
[ 2026-03-17 22:43:18,135 ] 42 root - INFO - Model Training artifact created
